RESPONSE,LABEL
karena orang pikir jika sumbang buat produksi pakai jadi lebih etika,1
pakai awet alternatif fast fashion pakai awet lebih mahal biaya produksi harga beli karena pakai buat tahan lebih lama buat jadi lebih sedikit kita konsumen tolak tren fast fashion beli pakai yang lebih awet buat sesuai etika,0
karna orang lebih suka sumbang,1
karana harga nya jangkau pas,0
rena harga mahal,0
orang yg perlu bisa punya baju kita,0
karena lihat kondisi pegawai,0
dia kasihan,1
milik pakai lebih sudah layak pakai pribadi,0
karna prihatin para kerja kerja buah pabrik pakai karna pabrik pakai sebut ingin bangkrut,1
karena sumbang itu harus di laku karena wajib dan akan dapat yang lebih untuk orang yang sumbang,1
pilih sumbang mereka pakai pakai ber etika,1
giat sumbang lebih utama masuk wajib orang ada sedang beli pakai terlalu perlu asal sudah punya pakai yang cukup,1
orang orang peduli sama,1
kondisi buah pabrik pakai sangat kejut,1
dari buang lebih baik sumbang masyarakat tidak mampu miskin,1
mungkin sadar banyak orang hasil nya sedikit kerja banting tulang untuk makan hari,1
sumbang lebih manfaat pada buang,0
dari pakai buang lebih baik sumbang,1
sumbang sama denga sodaqoh itu yg mampu hati ikhlas,0
karna kondisi kerja sangat mungkin,1
karna upaya buat produksi pakai jadi lebih etika,0
karna sumbang suatu yang sangat bagus bari amal,1
lebih banyak konsumen sumbang jadi hemat masalah uang akan buat produksi pakai jadi lebih etika,1
tahu kondisi kerja buah pabrik pakai,1
pakai tidak pakai lebih baik sumbang pada buang tempat sampah,0
dia mau bererja,0
jika banyak tidak pakai mubasir,0
t upaya buat produksi pakai jadi lebih etika,1
yang tak pakai lebih etika,0
karena lebih yakin sumbang uang lihat gambar tampil usaha sebut,1
kalo sumumbangkan lebih guna buang begtu maka itu orang pilih lebh banyak sumbang,0
lihat kondisi kerja buruk buah pabrik konsumen lebih pilih sumbang bel harga 2 euro,1
konsumen lebih pilih buat prodeuksi pakai lebih etika harus lanjut beli,1
sumbang bantu pakir miskin sangat butuh dapat pahala,0
ksarena sumbang dapat bantu pabrik telah masalah sebut dapat operasi baik,1
buat toko sebut lebih bagus dan lebih complete,0
bnyak butuh kan,0
karena buat produksi pakai jadi lebih etika,1
dapat manfaat sama sesuai etika pakai dapat kurang smapah lingkung polusi,1
upaya buat produksi pakai jadi lebih etika,1
mungkin mereka lebih sumbang buat produksi pakai jadi lebih etika beli pabrik pakai tidak prinsip pakai etika,1
itu bantu masyarakat kurang pakai lebih manfaat buang cuma cuma,1
karna bosan pakai lebih baik pakai orang,0
mereka upaya buat produksi pakai jadi lebih etika,1
lihat kondisi kerja buah pabrik pakai sehingga pikir sumbang mereka dapat baik ada sebut,1
harga pakai masuk kategori murah mereka tahu kondisi kerja buah pabrik terseebut,0
upaya buat produksi pakai jadi lebih etika,1
pabrik pakai makin baik dapat produksi pakai baik untuk mereka,1
agar pakai guna orang butuh harus buang lebih baik sumbang,0
kasihan kondisi pabrik pakai,1
turut jika sumbang 2 euro sebut harap kondisi parik sebut bisa baik,1
dengan sumbang akan dapat pahala lebih manfaat,1
pakai buat sesuai etika,0
telah konsumen beri pilih akan lanjut beli sumbang 2 euro sebut upaya buat produksi pakai jadi lebih etika,1
mungkin hanya peduli orang lebih butuh karena mungkin bagi orang mampu,0
karna kasihan kondisi kerja,0
karna lebih baik sumbang yang sumbang sumbang dapat pahala rizki allah,0
karna sedekah,0
karena kondisi pabrik buat pakai kejut,1
buat produksi pakai jadi lbih etika,1
krena mungkin kecil besar,0
milik rasa peduli sama,1
tren fast fashion beli pakai lebih awet buat sesuai etika,0
jauh lebih manfaat orang yg butuh,0
karena apabila pakainan sebut buang jadi limbah sebab apabila punya pakai sudah pakai lebih baik di sumbang,0
masyarakat lebih pilih beli pakai etika,1
tampil gambar kejut kondisi kerja buah pabrik pakai buat beli rasa kasi niat sumbang,1
sumbang rupa giat amal dapat manfaat banyak orang,1
kurang sampah lingkung polusi,0
tolak harga yg terlalu tinggi,0
tampil kondisi kerja pabrik,1
akan manfaat yg butuh,1
karena orang sebut simpat kondisi kerja buah pabrik pakai,1
konsumen lihat kondisi kerja pabrib kurang layak,1
sumbang semua pakai alas pakai sudah tak suka di pakai sehingga mereka sumbang,1
di luar sana banyak butuh tidak sepenuh sumbang sebut guna pakai saja juga yg,0
bagai upaya buat produksi pakai jadi lebih etika,0
kondisi kerja buah pabrik pakai upaya buat produksi pakain jadi etika,1
agar pabrik buat produksi pakai jadi lebih etika pasti kerja dapat upah yg layak,1
ada istilah lebih baik beri aripada terima,0
kurang gun air,0
sumbang bagus dapat pahala,0
mereka lihat tampil gambar kondisi kerja buah pabrik pakai mungkin tentang prinsip produksi pakai etika,1
masyarakat lebih suka bagi satu sama dan saling peduli satu sama,0
pilih,0
pakai sebut layak pakai da tidak etika baik,1
