RESPONSE,LABEL
orang pikir jika sumbang buat produksi pakai jadi lebih etika,1
pakai awet alternatif hadap fast fashion pakai awet lebih mahal biaya produksi harga beli karena pakai buat tahan lebih lama buat jadi lebih sedikit bagai konsumen tolak tren fast fashion beli pakai yang lebih awet buat sesuai etika,0
karna orang lebih suka sumbang,1
karana harga nya jangkau pas,0
rena harga mahal,0
orang yg perlu bisa punya baju kita,0
lihat kondisi pegawai,0
dia kasihan,1
milik pakai lebih sudah layak pakai pribadi,0
karna prihatin para kerja kerja buah pabrik pakai karna pabrik pakai sebut ingin bangkrut,1
sumbang harus laku wajib akan lebih orang yang sumbang,1
pilih sumbang mereka pakai pakai ber etika,1
giat sumbang lebih utama masuk wajib orang sedang beli pakai terlalu perlu asal sudah punya pakai yang cukup,1
orang orang peduli hadap sama,1
kondisi buah pabrik pakai sangat kejut,1
dari buang lebih baik sumbang masyarakat tidak mampu miskin,1
mungkin sadar banyak orang hasil nya sedikit kerja banting tulang untuk makan hari,1
sumbang lebih manfaat pada buang,0
dari pakai buang lebih baik sumbang,1
sumbang sama denga sodaqoh itu yg mampu hati ikhlas,0
karna kondisi kerja sangat mungkin,1
karna bagai upaya buat produksi pakai jadi lebih etika,0
karna sumbang suatu yang sangat bagus bari amal,1
lebih banyak konsumen sumbang jadi hemat masalah uang akan buat produksi pakai jadi lebih etika,1
tahu kondisi kerja buah pabrik pakai,1
pakai tidak pakai lebih baik sumbang pada buang tempat sampah,0
dia mau bererja,0
jika banyak tidak pakai mubasir,0
t bagai upaya buat produksi pakai jadi lebih etika,1
yang tak pakai lebih etika,0
lebih yakin sumbang uang lihat gambar tampil usaha sebut,1
kalo sumumbangkan lebih ketika buang begtu maka itu orang pilih lebh banyak sumbang,0
lihat kondisi kerja buruk buah pabrik konsumen lebih pilih sumbang bel harga 2 euro,1
konsumen lebih pilih buat prodeuksi pakai lebih etika harus lanjut beli,1
sumbang bantu pakir miskin sangat butuh dapat pahala,0
ksarena sumbang dapat bantu pabrik telah masalah sebut dapat operasi baik,1
buat toko sebut lebih bagus dan lebih complete,0
bnyak butuh kan,0
buat produksi pakai jadi lebih etika,1
dapat manfaat sama sesuai etika pakai dapat kurang smapah lingkung polusi,1
bagai upaya buat produksi pakai jadi lebih etika,1
