RESPONSE,LABEL
intetraksi adaptasi hadap lingkung baru,1
jatuh meteor tsunami gempa bumi,0
tuhan tahu tantang nya apa,0
akan sulit adaptasi,1
tempat tinggal ekonomi kerja,1
ganggu kesehatanya merekanperlu adaptasi lingkung baru,1
tidak hormat orang layak di hormat di dalam tempat tinggal yang lama,0
akan hilang lahan tani,1
kasus salah satu jadi travina warga mungkin paksa jadi ungsi iklim ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
musibah lawan,0
mereka butuh tempat tinggal baru,1
hilang tempat tinggal lama komunitas bencana alam,0
akan pindah tempat dulu,0
adaptasi,1
ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
karna tidak mau kena iklim sangat beser,0
yg pada kurang fasilitas tempat ungsi giat jadi dapat laku biasa makna tidak bebas laku,1
ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
fkjgrioejtklejtdfljlkgr,0
rasa aneh,0
satu tantang akan hadap ungsi hilang kerja yaitu kerja tan nelayan itu salah satu cahari lama tetap travina,1
jadi ubah tempat,0
akan bencana alam akan datang,0
perlu adaptasi harus rela pisah tembat lama mungkin lahan sebut hilang,1
jamin semua butuh sulit adaptasi tempat baru,1
orang trpaksa tinggal komunitas negara karna canda lingkung,0
tidak mudah sesuai hidup di tempat baru,1
akan hilang besar bahkan semua lahan tani,1
punya tempat tetap,1
masalah dapatdidapatkan pengngungsi adalah bahasa cari lapang kerja tempat tinggal,1
akan hilang lahan tani sektor pariwisata ikan tempat tinggal,1
derita panas nya cuaca iklim,0
warga travina alami bencana besar sebab ubah iklim,0
tinggal negara mereka akan jadi puengungsi butuh bantu negara mereka butuh negara mana harus jadi ungsi,0
tantanganya mereka beradapatsi dengan lingkung baru,1
jadi lama proses adaptasi laku para pengunsi iklim sebut,1
komunitas negara,0
tantang ungsi iklim lahan kerja ia tempat dulu hilang ia tinggal negara bencana lingkung ada negara,1
adaptasi lingkung baru,1
tantanganya akan tinggal tempat tinggal kebun milik,0
sulit cari lahan tani,0
cari tempat kerja bangun rumah nal orang asing,1
sesuai lingkung masalah imigrasi amerika tolak imigran datang luar,1
hilang segala,1
dari akan hilang lahan keluarga,1
sulit adaptasi wilayah baru,1
susah adaptasi,1
harus adaptasi lingkung baru,1
kalau pindah kena bencana,0
uis iklim orang orang paksa meningalkan komunikasi negara karena beencna,1
harus adaptasi tempat sebut harus rela rumah harta nya tengelam,1
tantang pasti hadap orang travina jadi ungsi iklim harus baur baik sesuai atur tatanan ada tempat baru akan tinggal,1
ungsi iklim,0
akan adaptasi tempat baru terima tempat mereka yang baru jalan cara hidup yang baru tempat sebut,1
hilang komunitas negara,1
hidup tidak sama hidup biasa jalan negara,0
harus rela hilang tempat tinggal mereka milik karena pengaruh bencana alam tidak lewat,1
harus usaha tempat pindah tahan hidup harus sesuai diri lingkung baru,1
warga travina betah tinggal tempat bukan tempat asal tidur suka nyenyak makan tidak banyak tempat tinggal dulu mandi harus rela antri ungsi iklim,1
harus mulai lingkung baru adaptasi lingkung yang baru bangun rumah tani tempat baru sebut,1
susah adaptasi lingkung baru mereka akan susah ahli butuh tempat baru,1
harus adaptasi tampat baru tinggal mulai hidup baru mereka juga sangat sulit kerja,1
akan susah cari kerja cari usaha lain,1
masalah tempat tingal barang harga,1
nyaman pindah,1
mareka rasa yang enak karna meningalkan nara keluarga lain,1
harus mulai hidup baru harus tinggal ada beda belum,1
waspada,0
buat lahan tani lahan kerja sudah tinggal negara sebut,1
ungsi daerah lai komunitas negara lai paksa tinggal bencana lingkung,0
ungsi iklim hilang harta benda raka lahan raka jika telah tetap sana sukses sana mereka susah payah rintis dari nol,1
tahan rasa suhu tubuh ada iklim negara sebut,1
sosial orang baru adaptasi lingkung yang baru,1
sulit unutk sesuai diri lingkung,1
coccok iklim akan tempat,1
paksa tinggal komunitas negara bencana lingkung,1
ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
rugi akan tinggal lahan tani mereka yang tumbuh subur,0
lebih waspada tentang sekitar nya,0
tinggal tempat baru telah tempat i lama hilang semua dan akan ulang hidup baru lingkung baru,1
hilang matapencarian mungkin keluarga,1
akan gaul iklim baru biasa susah lama adaptasi iklim baru,1
satu tantang akan hadap para ungsi iklim pindah tempat baru adaptasi lingkung baru,1
akan kekuranngan lahan,1
