RESPONSE,LABEL
Karena orang berpikir jika disumbangkan membuat produksi pakaian menjadi lebih beretika,1
"Pakaian awet alternatif Fast Fashion. Pakaian awet lebih mahal biaya produksi harga belinya, karena pakaian dibuat bertahan lebih lama, dibuat menjadi lebih sedikit. Kita konsumen menolak tren Fast Fashion membeli pakaian yang lebih awet dibuat sesuai etika.",0
karna orang lebih suka menyumbang,1
karana harga nya terjangkau pas.,0
kerena harganya mahal .,0
orang yg memerlukan bisa mempunyai baju kita,0
Karena melihat kondisi pegawai,0
dia kasihan,1
memiliki pakaian melebihi sudah layak dipakai pribadi,0
"karna prihatin para pekerja bekerja sebuah pabrik pakaian ,karna pabrik pakaian tersebut ingin bangkrut",1
KARENA MENYUMBANG ITU HARUS DI LAKUKAN KARENA WAJIB DAN AKAN MENDAPATKAN YANG LEBIH UNTUK ORANG YANG MENYUMBANG,1
memilih menyumbang mereka memakai pakaian ber etika,1
"? kegiatan menyumbang lebih utama termasuk diwajibkan orang ada,sedangkan membeli pakaian terlalu perlu asal sudah mempunyai pakaian yang cukup",1
orang orang peduli sesama,1
kondisi sebuah pabrik pakaian sangat mengejutkan,1
dari dibuang lebih baik disumbangkan masyarakat tidak mampu [miskin],1
mungkin sadar banyak orang penghasilan nya sedikit kerja banting tulang untuk makan sehari-hari.,1
menyumbang lebih bermanfaat pada buang,0
dari pakaian buang lebih baik sumbangkan,1
menyumbang sama denga sodaqoh itu yg mampu hatinya ikhlas,0
"karna kondisi pekerja sangat memungkinkan,",1
karna upaya membuat produksi pakaian menjadi lebih beretika,0
karna menyumbang suatu yang sangat bagus membarikan amal,1
lebih banyak konsumen menyumbang menjadi hemat masalah keuangan akan membuat produksi pakaian menjadi lebih beretika.,1
mengetahui kondisi kerja sebuah pabrik pakaian,1
pakaian tidak dipakai lebih baik disumbangkan pada dibuang tempat sampah.,0
dia mau bererja,0
jika banyak tidak terpakai mubasir,0
t upaya membuat produksi pakaian menjadi lebih beretika.,1
yang tak terpakai lebih beretika,0
Karena lebih yakin menyumbangkan uangnya melihat gambar ditampilkan perusahaan tersebut,1
kalo sumumbangkan lebih berguna dibuang begtu maka itu orang memilih lebh banyak disumbangkan,0
melihat kondisi kerja buruk sebuah pabrik konsumen lebih memilih menyumbang membelinya harga 2 Euro.,1
konsumen lebih memilih membuat prodeuksi pakaian lebih beretika harus melanjutkan pembelian,1
menyumbang membantu pakir miskin sangat membutuhkan mendapat pahala,0
"ksarena menyumbang, dapat membantu pabrik telah masalah tersebut, dapat beroperasi baik",1
membuat toko tersebut lebih bagus dan lebih complete,0
bnyak membutuh kan,0
Karena membuat produksi pakaian menjadi lebih beretika.,1
dapat bermanfaat sesama sesuai etika pakaian dapat mengurangi smapah lingkungan polusi,1
upaya membuat produksi pakaian menjadi lebih beretika,1
mungkin mereka lebih disumbang membuat produksi pakaian menjadi lebih beretika membeli dipabrik pakaian tidak berprinsip pakaian beretika,1
itu membantu masyarakat kekurangan pakaian lebih bermanfaat membuangnya cuma cuma,1
karna bosan dipakai lebih baik dipakai orang,0
mereka upaya membuat produksi pakaian menjadi lebih beretika,1
"melihat kondisi kerja sebuah pabrik pakaian,sehingga berpikir menyumbang mereka dapat memperbaiki keadaan tersebut",1
harga pakaian termasuk kategori murah mereka mengetahui kondisi kerja sebuah pabrik terseebut,0
upaya membuat produksi pakaian menjadi lebih beretika.,1
pabrik pakaian semakin baik dapat memproduksi pakaian baik untuk mereka.,1
Agar pakaiannya berguna orang membutuhkan harus dibuang lebih baik disumbangkan,0
kasihan kondisi pabrik pakaian,1
menurut jika menyumbangkan 2 euro tersebut berharap kondisi parik tersebut bisa diperbaiki,1
dengan menyumbang akan mendapat pahala lebih bermanfaat,1
pakaian dibuat sesuai etika,0
"Setelahnya, konsumen diberi pilihan akan melanjutkan pembelian menyumbangkan 2 Euro tersebut upaya membuat produksi pakaian menjadi lebih beretika.",1
mungkin hanya peduli orang lebih membutuhkan karena mungkin sebagian orang mampu,0
karna kasihan kondisi pekerja,0
"karna lebih baik menyumbang yang disumbang,menyumbang dapat pahala rizki allah",0
karna sedekah,0
dikarenakan kondisi pabrik pembuat pakaian mengejutkan,1
membuat produksi pakaian menjadi lbih beretika,1
krena mungkin kekecilan /kebesaran,0
memiliki rasa kepedulian sesama.,1
tren Fast Fashion membeli pakaian lebih awet dibuat sesuai etika.,0
jauh lebih bermanfaat orang-orang yg membutuhkannya,0
Karena apabila pakainan tersebut buang menjadi limbah sebab apabila mempunyai pakaian sudah pakai lebih baik di sumbangkan,0
masyarakat lebih memilih membeli pakaian beretika,1
menampilkan gambar mengejutkan kondisi kerja sebuah pabrik pakaian membuat pembeli merasa kasian berniat menyumbang,1
menyumbang merupakan kegiatan amal dapat bermanfaat banyak orang,1
Mengurangi sampah lingkungan polusi;,0
menolak harga yg terlalu tinggi,0
tampilan kondisi kerja pabrik,1
akan bermanfaat yg membutuhkan,1
"karena,orang-orang tersebut bersimpati kondisi kerja sebuah pabrik pakaian.",1
konsumen melihat kondisi kerja pabrib kurang layak,1
"menyumbangkan semua pakaiannya beralasan pakaian sudah tak suka di pakai,sehingga mereka menyumbangkannya",1
"di luar sana banyak membutuhkan, tidak sepenuhnya sumbangan tersebut digunakan pakaian saja. juga yg",0
sebagai upaya membuat produksi pakaian menjadi lebih beretika,0
kondisi kerja sebuah pabrik pakaian upaya membuat produksi pakain menjadi beretika,1
agar pabrik membuat memproduksi pakaian menjadi lebih beretika memastikan pekerja mendapatkan upah yg layak,1
ada istilah lebih baik memberi aripada menerima,0
mengurangi penggunan air,0
menyumbang bagus mendapatkan pahala,0
mereka melihat tampilan gambar kondisi kerja sebuah pabrik pakaian mungkin menentang prinsip produksi pakaian beretika,1
masyarakat lebih suka berbagi satu sama dan saling peduli satu sama,0
memilih,0
pakaian tersebut layak dipakai da tidak beretika baik,1
karna perbuatan menyumbang orang tidak mampu sangat mulia banyak mendapatkan pahala,1
"saya, kebanyakkan orang menyumbang orang-orang ingin memproduksi pakaian baru.",1
"9/10 orang memilih menyumbang kondisi pakaian ingin pakai bukan diinginkan setelah melihat layar tersebut, jadi banyaknya bahan kimia digunakan pembuatan pakaian akan mengganggu konsumen pemakaiannya gangguan kesehatan pakaian yang tidak tahan lama.",1
KARENA PRIHATIN MELIHAT KEADAAN PARA PEKERJA PABRIK,1
Karena pakaian dibeli merupakan fast fashion tidak bertahan lama kebanyakan orang memilioh menyumbangkan pakaian seharga 2 euro tersebut,0
karna orang-orang berprihatin pabrik-pabrik kekurangan dana,0
kalau disimpan pakaiannya kekecilan masih banyak membutuhkannya.,0
"karena, pakaiannya menjadi lebih beretika",1
karna menyumbang bekal menuju surga,0
dengan menyumbang membuat produksi pakaian menjadi lebih beretika,1
jika ikhlas menyumangkan sedikit uang untuk anak yatim ke panti asuhan akan mendapatkan pahala setimpal.,0
jika menyumbangkan barang berguna kedepanya,0
meningkatkan kualitas barang memuaskan konsumen da menjadikan produksi pakaian menjadi lebih beretika,0
"pakian awet alternatif fast fashion. pakian awet lebih mahal biaya produk harga belinya, karena pakaian di buat bertahan lama",0
"Menurut saya, konsumen mengerti kondisi kerja tidak layak, akan merasa iba lebih mengiklaskan 2 Euro tersebut dibanding membeli kaosnya. Sehingga pekerja mempunyai kondisi kerja penghasilan baik.",1
Karena mereka pakaian tersebut beretika.,1
karna lebih bermanfaat orang daripada terbuang sia-sia,1
2 euro tersebut sbg upaya prokduksi pakaian menjadi beretika,1
karna membantu orang,0
Karena kasihan kondisi pekerja.,1
pakain tersebut layak dipakai,0
"Karena dibuang menjadi sampah, lebih baik disumbangkan.",0
konsumen berpikir lebih baik menyumbang kan ny pada menjual ny.,1
akan lebih baik dari sebelumnya.,1
pakaian beretika,0
banyak membutuhkan,0
"kalau dibuang merugikan,makanya sebagian besar orang menyumbangkannya.",0
kerena ingin membantu perusahaan untuk membuat produksi pakaian menjadi lebih beretika membantu karyawan nya mendapat upah layak kondisi kerja baik;,0
Sebagai upaya membuat produksi pakaian menjadi lebih beretika.,1
"jika membeli pakaian memenuhi pakaian lemari yg tdk layak akan dibaung,maka kebanyakan orng memilih disumbangkan kpda orng dan sumbangan baju tersebut layak diapakai yg kurang mampu",0
konsumen melihat kondisi kerja sebuah pabrik pakaian tersebut kurang beretika mereka menyumbangkan 2 Euro membuat produksi pakaian lebih beretika.,1
"saya, kebayakan orang memilih menyumbang mungkin setelah melihat kondisi kerja pabrik tersebut, masyarakat menaruh harapan kelak perusahaan tersebut memproduksi pakaian menjadi lebih beretika,",1
karna penyumbangan baik membuat prodouksi pakaian menjadi lebih beretika,0
menyumbang sama menolong orang yang sedang kesusahan,1
kebanyakan orang memilih menyumbang pabrik pakaian tersebut memperbaiki kondisi kerja produksi pakaian lebih beretika,1
"dapat membantu menjadi lebih mudah, membuat barang produksi lebih diminati",1
melihat gambar kondisi kerja subuah pabrik pakaian,0
menyumbang hal baik masyarakat miskin tidak mampu,0
"konsumen-konsumen tersebut tahu sadar bagaimana buruknya kondisi kerja salah satu pabrik pakaian. itu, 9 dari 10 konsumen memilih menyumbangkan kaus 2 euro tersebut meningkatkan kondisi kerja pabrik-pabrik pakaian.",1
mereka melihat bagaimana kondisi kerja sebuah pabrik,0
konsumen berupaya membuat produksi menjad lebih beretika,0
lebih baik menyumbang membeli,0
mengurangi sampah lingkungan polusi,0
barang tidak layak pakai di sumbangkan diamalkan orang lebih membutuhkan,0
KARENA MENYUMBANG ADALAH HAL YANG SANGAT BAIK,1
fashion produksi pakaian memenuhi tren fashion cepat berubah,0
Karena menyumbangkan uang menurangi pakaian fast fashion meningkatkan pakaian beretika.,1
mungkin karna kondisi pabrik kurang mendukung kondisi perkerja kasihan,0
konsumen tega melihat pekerja bekerja keras gaji rendah,1
karna kaus di tawarkan produsen banyak diminati pembeli,0
menyumbang bagian amal,0
untuk membantu produktivitas suatu pabrik,1
pakaian-pakaian biasanya murah tidak bertahan lama konsumen biasanya cepat menggantinya mode terbaru.,1
akan sayang kalo buang saja . lebih baik kasih orang membutuhkan,0
menyumabng perbuatan terpuji dapat membantu mendapat pakaian beretika semua bahan untuk memproduksi terpenuhi hasil menyumbang,1
bisa mengurangi pakaian berakhir ditempat pembuangan sampah.,1
pakaian awet alternatif fast fashion,0
lebih bermanfaat.,1
Dikarenakan sembilan sepuluh konsumen tersebut menyadari betapa buruknya akibat pakaian tidak memenuhi etika.,1
"? karena,jika menyumbangkan 2 euro membuat produksi pakaian menjadi lebih beretika,maka pembuatannnya makin banyak biayanya mahal menjadi murah",0
jika konsumen tersebut membelinya menambah sampah lingkungan,1
mereka konsumen membeli melihat langsung kondisi kerja disebuah pabrik pakaian ternyata hasilnya mengejutkan dikarenakan konsumen melihat pabrik membuat pakaian kurang berateka,1
dengan menyumbangkan uang sebanyak 2 Euro tersebut konsumen mendapatkan pakaian lebih beretika,1
menurut tempat pembuatanya cara kerja kurang baik.,1
terlalu banyaknya pakaian sudah beli,1
dengan cara menyumbang bisa membuat produksi pakaian menjadi lebih beretika,1
membantu orang membutuhkan,1
KARNA MEREKA SANGAT MENYUKAI KAUS PUTIH TERSEBUT,0
"Karenam sebuah kaus diberikan konsumen, layar menampilkan gambar mengejutkan kondisi kerja sebuah pabrik pakaian.",1
"Sebagai bagian eksperiman, sebuah mesin penjual Berlin menawarkan kaus putih seharga 2 Euro (atau Rp30.000). Sebelum sebuah kaus diberikan konsumen, layar menampilkan gambar mengejutkan kondisi kerja sebuah pabrik pakaian.  pakaian dibuat bertahan lebih lama, dibuat menjadi lebih sedikit. Kita konsumen menolak tren Fast Fashion membeli pakaian yang lebih awet dibuat sesuai etik",1
Karena 2 euro sama harga sebuah kaus putih,0
krena menyun bang berpahala,1
kondisi kerja pabrik iyu bagus,0
"menyumbang merupakan suatu bentuk mengamal, menyumbang ajaran agaama memberi orang membutuhkan . merupakan suatu tindakan terpuji",1
Karna merupakan infestasi,0
karana menyumbang bisa membuat produksi pakain menjadi lebih beretika,0
kondisi sebuah pabrik yg mengejutkan.,0
"karna lebih murah menyumbang ,mengapa lebih murah karna 2 euro tersebut upaya membuat produksi pakaian menjadi lebih beretika",1
Sebagai upaya membuat produksi pakaian menjadi lebih beretika.,1
yang di produksi tahun,0
Karena merasa kasihan kondisi pabriknya mungkin bersih mungkin mesinnya lengkap merasa kasihan pegawainya mendapatkan gaji kurang yang ditetapkan.,1
kalo menyumbang dapat pahala,1
"mungkin pakaian tidak bagus pakai lagi.dan mungkin pakaian tidak muat di pakai orang tersebut,",0
"konsumen merubah produsen membuat fast fashion menjadi lebih baik melihat pabriknya terlihat sangat buruk, lagipula dengan memberikan 2 euro bukanlah uang banyak orang tak apa merelakannya.",0
"Menurut saya, kebanyakan orang memilih menyumbang pabrik dibenahi menggunakan uang sumbangan mereka. Selain mereka memperbaiki kondisi kerja pabrik pakaian sangatlah buruk sangat sesuai prinsip produksi pakaian beretika nomor 1 'Memastikan pekerja mendapatkan upah layak kondisi kerja baik'.",1
untuk membantu sebagian konsumen,0
menyumbang lebih baik menerima,1
"lebih bermanfaat, pada diabuang tidak yang menggunakan",1
karna gambarnya cocok warna kaus baju,0
Karena juga makhluk sosial tolong menolong jadi pantas menyumbang orang ada dibawah,0
dengan menyumbang konsumen membantu pekerja,1
Karena menyumbang membantu proses produksi lebih bagus maka banyak konsumen nantinya akan membeli produk tersebut,1
produksi pakaian menjadi lebih beretika.,1
lebih baik menyumbang,0
