RESPONSE,LABEL
intetraksi/beradaptasi lingkungan baru.,1
jatuhnya meteor tsunami gempa bumi,0
tuhan tahu tantangan nya apaan,0
akan sulit beradaptasi,1
"Tempat tinggal, ekonomi, pekerjaan",1
terganggu kesehatanya merekanperlu beradaptasi lingkungan baru.,1
Mereka akan hormati orang layaknya hormati di dalam tempat tinggal yang lama,0
akan kehilangan lahan pertanian.,1
"Pada kasus-kasus salah satunya terjadi Travina, warga mungkin dipaksa menjadi ""pengungsi iklim”. Pengungsi iklim orang-orang terpaksa meninggalkan komunitas negaranya bencana lingkungan.",0
mendapat musibah melawannya,0
mereka butuh tempat tinggal baru,1
Akan kehilangan tempat tinggal lama komunitas bencana alam.,0
akan pindah tempat dulu,0
beradaptasi,1
Pengungsi iklim orang-orang terpaksa meninggalkan komunitas negaranya bencana lingkungan.,0
karna tidak mau terkena iklim sangat beser,0
keadaan yg memadai kurangnya fasilitas tempat pengungsian kegiatan jadi dapat dilakukan biasanya maknanya tidak bebas melakukan,1
Pengungsi iklim orang-orang terpaksa meninggalkan komunitas negaranya bencana lingkungan.,0
fkjgrioejtklejtdfljlkgr,0
merasa aneh,0
satu tantangan akan dihadapi pengungsi kehilangan pekerjaan yaitu pekerjaan bertani nelayan itulah salah satu pencaharian selama menetap Travina.,1
terjadinya perubahan tempat,0
"karena,akan bencana alam akan datang",0
Mereka perlu adaptasi harus rela berpisah tembat lamanya kemungkinan lahan tersebut hilang,1
"terjamin semua kebutuhannya, sulit beradaptasi tempat baru",1
orang-orang trpaksa meninggalkan komunitas negaranya karna bercanda lingkungan,0
Mereka akan mudah menyesuaikan hidup di tempat baru,1
akan kehilangan sebagian besar bahkan semua lahan pertanian,1
mempunyai tempat tetap,1
"masalah dapatdidapatkan pengngungsi adalah penggunaan bahasa, pencarian lapangan kerja, tempat tinggal.",1
akan kehilangan lahan pertanian sektor pariwisata perikanan tempat tinggal mereka.,1
penderitaan panas nya cuaca iklim,0
Warga Travina mengalami bencana besar disebabkan perubahan iklim .,0
"MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI",0
