RESPONSE,LABEL
intetraksi adaptasi lingkung baru,1
jatuh meteor tsunami gempa bumi,0
tuhan tahu tantang nya apa,0
akan sulit adaptasi,1
tempat tinggal ekonomi kerja,1
ganggu kesehatanya merekanperlu adaptasi lingkung baru,1
mereka akan hormat orang layak hormat di dalam tempat tinggal yang lama,0
akan hilang lahan tani,1
pada kasus salah satu jadi travina warga mungkin paksa jadi ungsi iklim ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
dapat musibah lawan,0
mereka butuh tempat tinggal baru,1
akan hilang tempat tinggal lama komunitas bencana alam,0
akan pindah tempat dulu,0
adaptasi,1
ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
karna tidak mau kena iklim sangat beser,0
ada yg pada kurang fasilitas tempat ungsi giat jadi dapat laku biasa makna tidak bebas laku,1
ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
fkjgrioejtklejtdfljlkgr,0
rasa aneh,0
satu tantang akan hadap ungsi hilang kerja yaitu kerja tan nelayan itu salah satu cahari lama tetap travina,1
jadi ubah tempat,0
karena akan bencana alam akan datang,0
mereka perlu adaptasi harus rela pisah tembat lama mungkin lahan sebut hilang,1
jamin semua butuh sulit adaptasi tempat baru,1
orang trpaksa tinggal komunitas negara karna canda lingkung,0
mereka akan mudah sesuai hidup di tempat baru,1
akan hilang bagi besar bahkan semua lahan tani,1
punya tempat tetap,1
masalah dapatdidapatkan pengngungsi adalah guna bahasa cari lapang kerja tempat tinggal,1
akan hilang lahan tani sektor pariwisata ikan tempat tinggal mereka,1
derita panas nya cuaca iklim,0
warga travina alami bencana besar sebab ubah iklim,0
mereka akan tinggal negara dan mereka akan jadi puengungsi yang butuh bantu dari negara lain mereka juga butuh negara mana yang harus jadi ungsi,0
tantanganya mereka beradapatsi dengan lingkung baru,1
jadi lama proses adaptasi laku para pengunsi iklim sebut,1
komunitas negara,0
tantang ungsi iklim lahan kerja ia tempat dulu hilang ia tinggal negara bencana lingkung ada negara,1
adaptasi lingkung baru,1
tantanganya akan tinggal tempat tinggal kebun milik,0
sulit cari lahan tani,0
harus cari tempat kerja bangun rumah nal orang asing,1
sesuai lingkung masalah imigrasi amerika tolak imigran datang luar,1
hilang segala,1
bagi mereka hilang lahan keluarga,1
sulit adaptasi wilayah baru,1
susah adaptasi,1
mereka bisa adaptasi lingkung baru,1
kalau pindah kena bencana,0
uis iklim orang orang paksa meningalkan komunikasi negara karena beencna,1
harus adaptasi tempat sebut harus rela rumah harta nya tengelam,1
tantang pasti hadap orang travina jadi ungsi iklim harus baur baik sesuai atur tatanan ada tempat baru akan tinggal,1
ungsi iklim,0
mereka adaptasi tempat baru terima ada tempat mereka yang baru jalan cara hidup yang baru tempat sebut,1
hilang komunitas negara,1
hidup tidak sama hidup biasa jalan negara,0
harus rela hilang tempat tinggal mereka milik belum pengaruh bencana alam tidak lewat,1
harus usaha tempat pindah tahan hidup harus sesuai diri lingkung baru,1
warga travina betah tinggal tempat bukan tempat asal tidur suka nyenyak makan tidak banyak tempat tinggal dulu mandi harus rela antri ungsi iklim lain,1
harus mulai lingkung baru adaptasi lingkung yang baru bangun rumah tani tempat baru sebut,1
mereka susah adaptasi lingkung baru mereka susah dapat ahli butuh tempat baru,1
harus adaptasi tampat baru tinggal mulai hidup baru mereka juga sangat sulit dapat kerja,1
akan susah cari kerja cari usaha lain lain,1
masalah tempat tingal barang harga,1
tidak nyaman pindah,1
mareka rasa yang enak karna meningalkan nara keluarga dan lain,1
harus mulai hidup baru harus tinggal ada beda belum,1
waspada,0
buat lahan tani lahan kerja sudah tinggal negara sebut,1
ungsi daerah lai karena komunitas negara lai paksa tinggal ada bencana lingkung,0
ungsi iklim hilang harta benda raka lahan raka karena mereka tetap sana sukses sana mereka susah payah rintis dari nol,1
tahan rasa suhu tubuh ada iklim negara sebut,1
sosial orang baru adaptasi lingkung sekitar baru,1
akan sulit unutk sesuai diri lingkung,1
coccok iklim akan tempat,1
paksa tinggal komunitas negara bencana lingkung,1
ungsi iklim orang paksa tinggal komunitas negara bencana lingkung,0
mereka rugi tinggal lahan tani mereka yang tumbuh subur,0
lebih waspada tentang ada nya,0
tinggal tempat baru telah tempat i lama dan hilang semua dan ulang hidup baru lingkung baru,1
hilang matapencarian mungkin keluarga,1
mereka gaul iklim baru biasa susah lama adaptasi iklim baru,1
satu tantang akan hadap para ungsi iklim pindah tempat baru adaptasi lingkung baru,1
akan kekuranngan lahan,1
tantang akan hadap ungsi iklim adalah harus adaptasi lingkung baru mungkin jauh beda tempat tinggal belum harus mulai awal cari lahan kerja mereka,1
tantang nya apabila pidah tempat baru mereka tidak biasa daerah mereka tempat,1
pertama cuaca perlu adaptasi lingkung,1
mungkin kurang dapat kerja tempat tinggal layak mereka,1
bisa sesuai diri tempat baru,1
ajar,0
kenal orang oramg baru asing yag adaptasi awal,1
travina orang orang paksa tinggal komunitas negara bencana lingkung dia senang dapet tempat tinggal baru,0
akan hilang film dokumenter populer,0
biasa itu,0
tantang akan hadap ada rasa tidak nyaman rasa faktor lingkung beda ada pernah mereka rasa belum,1
kurang bahan pangan pakai obat harus saling bagi tempat rela sempit mereka akan serba kurang,1
mereka hilang hilang tempat tinggal,1
tentu kondisi uang warga travina turun tidak tan lahan tani merkea hilang kerja bidang pariwisata kurang karena banyak warga travina ungsi tempat tuju wisatawan rusak,1
tantang ialah duduk hilang hasil tani mereka hasil lahan mereka tinggal,0
pekerjan jadi hilang lahan pertanianakan kurang,0
karena semua tempat iklim sama semua warga travina harus sesuai diri lingkung iklim mereka pindah tempat baru,1
trepisah komunitas nya dan cari tempat tinggal baru,1
pindah daerah aman,1
satu tantang hadap ungsi iklim pindah tempat baru sesuai adaptasi iklim tempat baru mereka tempat mungkin akan sangat beda yang di travina,1
hilang lahan yang mereka garap lama dan akan hilang harta benda,1
tempat mungkin kurang layak mereka jadi pngungsi iklim ehinggga mrnjadi ebuah tantangaan,1
milik tempat tinggal hilang lahan nya,1
