RESPONSE,LABEL
karena orang pikir bahwa jika sumbang akan buat produksi pakai jadi lebih etika,1
pakai awet adalah alternatif hadap fast fashion pakai awet lebih mahal biaya produksi dan harga beli tetapi karena pakai itu buat untuk tahan lebih lama maka yang buat pun jadi lebih sedikit kita bagai konsumen harus tolak tren fast fashion dan beli pakai yang lebih awet dan buat sesuai etika,0
karna orang lebih suka sumbang,1
karana harga nya jangkau dan pas,0
rena harga mahal,0
agar orang yg perlu juga bisa punya baju seperti kita,0
karena lihat kondisi para pegawai,0
karena dia kasihan,1
karena milik pakai yang lebih atau sudah tidak layak pakai pribadi,0
karna mereka prihatin dengan para kerja yang kerja di buah pabrik pakai karna pabrik pakai sebut sudah ingin bangkrut,1
karena sumbang itu harus di laku karena wajib dan akan dapat yang lebih untuk orang yang sumbang,1
mereka pilih untuk sumbang karena mereka ingin pakai pakai yang ber etika,1
karena giat sumbang lebih utama dan masuk hal yang wajib untuk orang ada sedang beli pakai tidak terlalu perlu asal kita sudah punya pakai yang cukup,1
karena orang orang masih peduli hadap sama,1
karena kondisi di buah pabrik pakai yang sangat kejut,1
karena dari pada buang lebih baik sumbang ke masyarakat yang tidak mampu miskin,1
karena mungkin mereka sadar bahwa banyak orang yang hasil nya sedikit dan kerja banting tulang hanya untuk makan hari,1
karena sumbang itu lebih manfaat dari pada di buang,0
karena dari pada pakai di buang lebih baik di sumbang,1
karena sumbang itu sama denga sodaqoh juga itu bagi yg mampu dan hati ikhlas,0
karna kondisi kerja sangat mungkin,1
karna bagai upaya untuk buat produksi pakai jadi lebih etika,0
karna sumbang suatu hal yang sangat bagus dan bari amal,1
karena lebih banyak konsumen yang sumbang akan jadi hemat dengan masalah uang dan akan buat produksi pakai jadi lebih etika,1
karena tahu kondisi kerja di buah pabrik pakai,1
karena pakai yang tidak pakai lagi lebih baik sumbang dari pada buang di tempat sampah,0
karena dia tidak mau bererja,0
karena jika banyak yang tidak pakai akan mubasir,0
karena t bagai upaya untuk buat produksi pakai jadi lebih etika,1
karena yang tak pakai lebih etika,0
karena lebih yakin dalam sumbang uang telah lihat gambar yang tampil usaha sebut,1
karena kalo sumumbangkan lebih guna ketika buang begtu saja maka dari itu orang pilih lebh banyak sumbang,0
karena lihat kondisi kerja yang buruk di buah pabrik para konsumen lebih pilih sumbang daripada bel dengan harga 2 euro,1
karena konsumen lebih pilih buat prodeuksi pakai lebih etika daripada harus lanjut beli,1
karena sumbang dapat bantu pakir miskin yang sangat butuh dan dapat pahala,0
ksarena dengan sumbang kita dapat bantu pabrik yang telah dalam masalah sebut agar dapat operasi dengan baik lagi,1
untuk buat toko sebut lebih bagus lagi dan lebih complete,0
karena bnyak yang butuh kan,0
karena buat produksi pakai jadi lebih etika,1
karena dapat manfaat bagi sama dan sesuai dengan etika pakai sehingga dapat kurang smapah lingkung dan polusi,1
bagai upaya untuk buat produksi pakai jadi lebih etika,1
karena mungkin turut mereka lebih jika sumbang untuk buat produksi pakai jadi lebih etika daripada beli pabrik pakai yang tidak prinsip pakai etika,1
karena itu akan bantu para masyarakat yang kurang pakai dan lebih manfaat daripada buang cara cuma cuma,1
karna sudah bosan pakai dan lebih baik pakai dengan orang lain,0
karena mereka ingin upaya untuk buat produksi pakai jadi lebih etika,1
karena mereka lihat tentang kondisi kerja di buah pabrik pakai sehingga mereka pikir dengan sumbang mereka dapat baik ada sebut,1
karena harga pakai masuk kategori murah dan mereka tahu kondisi kerja di buah pabrik terseebut,0
upaya untuk buat produksi pakai jadi lebih etika,1
agar pabrik pakai makin baik dan dapat produksi pakai yang baik pula untuk mereka,1
agar pakai bisa guna bagi orang yang butuh daripada harus buang lebih baik sumbang,0
mereka kasihan dengan kondisi pabrik pakai,1
karena turut mereka jika mereka bisa sumbang 2 euro sebut mereka harap kondisi parik sebut bisa baik,1
karena dengan sumbang kita akan dapat pahala dan lebih manfaat,1
agar pakai bisa buat sesuai etika,0
karena telah konsumen beri pilih apakah akan lanjut beli atau sumbang 2 euro sebut bagai upaya untuk buat produksi pakai jadi lebih etika,1
karena mungkin mereka hanya peduli pada orang yang lebih butuh dan karena mungkin bagi orang tidak mampu,0
karna kasihan hadap kondisi para kerja,0
karna lebih baik sumbang daripada yang sumbang sumbang kita dapat pahala atau rizki dari allah,0
karna untuk sedekah,0
karena kondisi pabrik buat pakai yang kejut,1
buat produksi pakai jadi lbih etika,1
krena mungkin kecil besar,0
mereka milik rasa peduli hadap sama,1
tren fast fashion dan beli pakai yang lebih awet dan buat sesuai etika,0
karena jauh lebih manfaat bagi orang yg butuh,0
karena apabila pakainan sebut di buang akan jadi limbah oleh sebab itu apabila punya pakai yang sudah tidak di pakai lagi lebih baik di sumbang,0
karena masyarakat akan lebih pilih untuk beli pakai yang etika,1
karena tampil gambar yang kejut tentang kondisi kerja di buah pabrik pakai buat beli rasa kasi dan niat untuk sumbang,1
karena sumbang rupa giat amal yang dapat manfaat bagi banyak orang,1
kurang sampah lingkung dan polusi,0
karena tolak harga yg terlalu tinggi,0
tampil kondisi kerja pada pabrik,1
karena akan manfaat bagi yg butuh,1
karena orang sebut simpat tentang kondisi kerja di buah pabrik pakai,1
karena konsumen lihat kondisi kerja pabrib yang kurang layak,1
karena mereka sumbang semua pakai alas karena pakai itu sudah tak suka lagi di pakai sehingga mereka sumbang,1
karena di luar sana masih banyak yang butuh sehingga tidak sepenuh sumbang sebut guna untuk pakai saja tapi juga untuk yg lain,0
karena bagai upaya untuk buat produksi pakai jadi lebih etika,0
tentang kondisi kerja di buah pabrik pakai bagai upaya untuk buat produksi pakain jadi etika,1
karena agar pabrik buat atau produksi pakai jadi lebih etika dan pasti bahwa kerja dapat upah yg layak,1
karena ada istilah lebih baik beri aripada terima,0
untuk kurang gun air,0
karena sumbang itu bagus dan dapat pahala,0
karena mereka lihat tampil gambar tentang kondisi kerja di buah pabrik pakai yang mungkin tentang prinsip produksi pakai yang etika,1
karena masyarakat lebih suka bagi satu sama lain dan saling peduli satu sama lain,0
pilih,0
karena pakai sebut sudah tidak layak untuk pakai da tidak etika dengan baik,1
karna buat sumbang untuk orang yang tidak mampu itu sangat mulia dan banyak dapat pahala,1
turut saya banyak orang sumbang karena orang itu ingin produksi pakai yang baru,1
9 10 orang pilih sumbang karena kondisi pakai yang ingin mereka pakai bukan seperti yang ingin mereka telah lihat layar sebut bisa jadi banyak bahan kimia yang guna dalam buat pakai yang akan ganggu konsumen dalam pakai seperti ganggu sehat dan pakai yang tidak tahan lama,1
karena prihatin lihat ada para kerja pabrik,1
karena pakai yang beli rupa fast fashion yang tidak dapat tahan lama sehingga banyak orang memilioh untuk sumbang pakai harga 2 euro sebut,0
karna orang prihatin hadap pabrik yang kurang dana,0
karena kalau simpan pakai akan kecil dan masih banyak yang butuh,0
karena pakai akan jadi lebih etika,1
karna sumbang adalah bekal untuk tuju surga,0
karena dengan sumbang untuk buat produksi pakai jadi lebih etika,1
karena jika ikhlas menyumangkan sedikit uang kita untuk anak yatim atau ke panti asuh kita akan dapat pahala yang timpal,0
karena jika mereka sumbang dengan barang akan guna depa,0
untuk tingkat kualitas barang yang muas untuk konsumen da jadi produksi pakai jadi lebih etika,0
pakian awet adalah alternatif hadap fast fashion pakian awet lebih mahal biaya produk dan harga beli tetapi karena pakai itu di buat untuk tahan dengan lama,0
turut saya para konsumen yang erti kondisi kerja yang tidak layak mereka akan rasa iba dan lebih mengiklaskan 2 euro sebut banding beli kaos sehingga para kerja bisa punya kondisi kerja dan hasil yang baik,1
karena turut mereka pakai sebut tidak etika,1
karna itu lebih manfaat untuk orang lain daripada harus buang sia,1
2 euro sebut sbg upaya untuk prokduksi pakai jadi etika,1
karna dapat bantu orang,0
karena kasihan dengan kondisi para kerja,1
karena pakain sebut tidak layak untuk pakai,0
karena daripada buang dan jadi sampah lebih baik sumbang,0
karena konsumen pikir lebih baik sumbang kan ny dari pada harus jual ny,1
karena akan lebih baik lagi dari belum,1
karena pakai itu etika,0
karena banyak yang butuh,0
karena kalau buang dapat rugi makanya bagi besar orang sumbang,0
rena mereka ingin bantu usaha itu untuk buat produksi pakai jadi lebih etika dan bantu karyawan nya dapat upah layak dan kondisi kerja yang baik,0
bagai upaya untuk buat produksi pakai jadi lebih etika,1
karena jika beli pakai lagi akan penuh pakai lemari dan yg sudah tdk layak akan baung maka banyak orng pilih untuk sumbang kpda orng lain dan sumbang baju sebut layak untuk diapakai yg kurang mampu,0
karena konsumen lihat dari kondisi kerja di buah pabrik pakai sebut kurang etika sehingga mereka sumbang 2 euro untuk buat produksi pakai yang lebih etika,1
turut saya kebaya orang pilih untuk sumbang karena mungkin saja telah lihat kondisi kerja di pabrik sebut masyarakat taruh harap kelak usaha sebut dapat produksi pakai jadi lebih etika,1
karna sumbang itu baik untuk buat prodouksi pakai jadi lebih etika,0
karena sumbang itu sama saja tolong orang lain yang sedang susah,1
banyak orang pilih untuk sumbang supaya pabrik pakai sebut baik kondisi kerja produksi pakai yang lebih etika,1
agar dapat bantu jadi lebih mudah dan buat barang produksi lebih mati,1
karena lihat gambar tentang kondisi kerja subuah pabrik pakai,0
karena sumbang adalah hal yang baik untuk masyarakat yang miskin atau tidak mampu,0
karena konsumen sebut sudah tahu dan sadar bagaimana buruk kondisi kerja di salah satu pabrik pakai maka dari itu 9 dari 10 konsumen pilih untuk sumbang kaus 2 euro sebut untuk tingkat kondisi kerja di pabrik pakai,1
karena mereka telah lihat bagaimana kondisi kerja di buah pabrik,0
karena konsumen ingin upaya untuk buat produksi menjad lebih etika,0
karena lebih baik sumbang daripada beli,0
karena kurang sampah lingkung dan polusi,0
karena barang yang tidak layak di pakai harus di sumbang untuk amal kepada orang yang lebih butuh,0
karena sumbang adalah hal yang sangat baik,1
fashion adalah produksi pakai untuk penuh tren fashion cepat ubah,0
karena dengan sumbang uang akan turang pakai fast fashion dan tingkat pakai etika,1
mungkin karna kondisi pabrik yang kurang dukung atau kondisi kerja yang kasihan,0
karena konsumen tidak tega lihat kerja yang kerja keras dengan gaji rendah,1
karna kaus yang di tawar oleh produsen belum banyak mati oleh beli,0
karena sumbang bagi dari amal,0
sebab untuk bantu produktivitas suatu pabrik,1
karena pakai ini biasa murah dan tidak tahan lama karena konsumen biasa cepat ganti dengan mode baru,1
karena akan sayang kalo di buang begitu saja lebih baik di kasih kepada orang yang butuh,0
karena menyumabng adalah buat yang puji dan dapat bantu kita untuk dapat pakai yang etika karena semua bahan untuk produksi penuh dari hasil kita sumbang,1
supaya bisa kurang pakai yang akhir tempat buang sampah,1
pakai awet adalah alternatif hadap fast fashion,0
karena lebih manfaat,1
karena sembilan dari puluh konsumen sebut sadar akan betapa buruk akibat dari pakai yang tidak penuh etika,1
karena jika mereka sumbang 2 euro untuk buat produksi pakai jadi lebih etika maka pembuatannnya makin banyak sehingga biaya yang mahal akan jadi murah,0
karena jika konsumen sebut bel akan tambah sampah lingkung,1
karena mereka atau konsumen yang beli lihat langsung tentang kondisi kerja buah pabrik pakai dan nyata hasil kejut karena konsumen lihat pabrik buat pakai yang kurang berateka,1
karena dengan sumbang uang banyak 2 euro sebut konsumen akan dapat pakai yang lebih etika,1
karena turut mereka tempat pembuatanya atau cara kerja mereka kurang baik,1
karena terlalu banyak pakai yang sudah di beli,1
karena dengan cara sumbang itu bisa buat produksi pakai jadi lebih etika,1
untuk bantu orang yang butuh,1
karna mereka sangat suka kaus putih sebut,0
karenam belum buah kaus beri kepada konsumen layar tampil gambar yang kejut tentang kondisi kerja di buah pabrik pakai,1
bagai bagi dari eksperiman buah mesin jual di lin tawar kaus putih harga 2 euro atau sekitar rp30 000 belum buah kaus beri kepada konsumen layar tampil gambar yang kejut tentang kondisi kerja di buah pabrik pakai karena pakai itu buat untuk tahan lebih lama maka yang buat pun jadi lebih sedikit kita bagai konsumen harus tolak tren fast fashion dan beli pakai yang lebih awet dan buat sesuai etik,1
karena 2 euro sama dengan harga buah kaus putih,0
krena sun bang itu pahala,1
karena kondisi kerja pabrik iyu bagus,0
karena sumbang rupa suatu bentuk amal sumbang dalam ajar agaama yaitu beri kepada orang yang butuh itu rupa suatu tindak yang puji,1
karna itu rupa infestasi,0
karana dengan sumbang kita bisa buat produksi pakain jadi lebih etika,0
karena kondisi di buah pabrik yg kejut,0
karna lebih murah jika sumbang mengapa lebih murah karna 2 euro sebut bagai upaya untuk buat produksi pakai jadi lebih etika,1
bagai upaya untuk buat produksi pakai jadi lebih etika,1
karena yang harus di produksi tiap tahun,0
karena mereka rasa kasihan kepada kondisi di pabrik yang mungkin tidak bersih atau mungkin mesin tidak lengkap dan rasa kasihan kepada pegawai yang dapat gaji kurang dari yang tetap,1
karena kalo sumbang akan dapat pahala,1
mungkin pakai itu tidak bagus untuk di pakai lagi dan mungkin saja pakai itu tidak muat di pakai oleh orang sebut,0
karena konsumen ingin rubah produsen yang buat fast fashion ini jadi lebih baik lihat pabrik yang lihat sangat buruk lagipula hanya dengan beri 2 euro saja bukan uang yang banyak dan orang pasti tak apa rela,0
turut saya banyak orang pilih untuk sumbang agar pabrik bisa benah dengan guna uang sumbang mereka selain itu mereka ingin baik kondisi kerja pabrik pakai yang sangat buruk dan sangat tidak sesuai dengan prinsip produksi pakai yang etika nomor 1 yaitu pasti bahwa kerja dapat upah layak dan kondisi kerja yang baik,1
karena untuk bantu bagi konsumen,0
karena sumbang lebih baik daripada terima,1
karena lebih manfaat dari pada diabuang dan tidak ada yang guna,1
karna gambar tidak cocok dengan warna kaus baju,0
karena kita juga makhluk sosial harus tolong tolong jadi kita pantas sumbang kepada orang yang ada bawah kita,0
karena dengan sumbang para konsumen dapat bantu para kerja,1
karena dengan sumbang akan bantu proses produksi yang lebih bagus lagi maka akan banyak konsumen nanti yang akan beli produk sebut,1
produksi pakai jadi lebih etika,1
lebih baik sumbang,0
akaian-pakaian ini biasa murah dan tidak tahan lama karena konsumen biasa cepat ganti dengan mode baru fas,0
karena dia ingin pakai mereka etika,0
karena dia akan buat produksi pakai yang etika maka dia akan menyumbangknnya,1
upaya untuk buat produksi pakai jadi lebih etika,0
karna sambung lebih gampang dari putus,0
